query,rank,distance,id,record_id,title,section_title,source_file,snippet
HIV antiretroviral therapy resistance,1,0.8159005641937256,pmc_000001::chunk_00022,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". 2003 ). Given that over 10% of the ORFs in the P. falciparum genome are predicted to contain an apicoplast-targeting sequence, we sought to use the IDC transcriptome as a means to narrow the search space for candidate apicoplast-targeted genes. As mentioned above, the expression profiles for genes encoded on the plas"
HIV antiretroviral therapy resistance,2,0.8213700652122498,pmc_000017::chunk_00006,pmc_000017,Microarray Analysis,Fishing for Hypotheses,PMC000xxxxxx/PMC212694.xml,". Similarly, van't Veer et al. (2002) have described a “poor prognosis” signature in breast cancer biopsies from young women prior to the appearance of metastases in the lymph nodes. Much statistical and empirical work remains to be done before these tools see clinical application, but the idea that gene expression int"
HIV antiretroviral therapy resistance,3,0.8365263342857361,pmc_000020::chunk_00009,pmc_000020,Digital Evolution,Evolution in Action,PMC000xxxxxx/PMC212697.xml,". ‘It's a one-to-one analogy’, notes Adami, ‘and the fact that it works so well may tell you something very, very fundamental about the duality between computational chemistries and biochemical chemistries’. In Adami's collaboration with Lenski to show how complex features can evolve sequentially, the Avidian genome is"
HIV antiretroviral therapy resistance,4,0.8414677977561951,pmc_000014::chunk_00023,pmc_000014,The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway,Results,PMC000xxxxxx/PMC212691.xml,". Alternatively, the low activity of GSK3β may point to an unidentified inhibitory activity present in our Xenopus egg extracts. Effects of Dynamic Changes in Protein Concentrations The dependence of flux on the concentration of a pathway component is a measure of how much the flux is sensitively controlled by that com"
HIV antiretroviral therapy resistance,5,0.8418092727661133,pmc_000001::chunk_00030,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Discussion,PMC000xxxxxx/PMC176545.xml,". It is also feasible to speculate that a multilayer regulatory network is employed in the progression of the entire P. falciparum lifecycle. In this model, the same cis - and trans -acting regulatory elements driving the actual mRNA production in IDC are utilized in other developmental stages. These elements are then "
diabetes insulin glucose metabolism,1,0.7967450022697449,pmc_000005::chunk_00011,pmc_000005,Drosophila Free-Running Rhythms Require Intercellular Communication,Results,PMC000xxxxxx/PMC193604.xml,". Taken together, the results indicate an excellent quantitative correspondence in phase and amplitude between the tim RNA rhythms and the behavioral rhythms in all clock neurons of the Pdf 01 strain. To extend these observations, we also assayed cryptochrome (cry) mRNA oscillations by in situ hybridization. cry is exp"
diabetes insulin glucose metabolism,2,0.8023633360862732,pmc_000018::chunk_00002,pmc_000018,V(D)J Recombination and the Evolution of the Adaptive Immune System,RAGs: Indispensable for V(D)J Recombination,PMC000xxxxxx/PMC212695.xml,RAGs: Indispensable for V(D)J Recombination RAG proteins carry out the first enzymatic step of the reaction—site-specific cleavage of DNA ( van Gent et al. 1995 ). Artificial expression of RAGs in mammalian cells other than B- or T-lymphocytes suggests that RAG is the only lymphocyte-specific factor required for this r
diabetes insulin glucose metabolism,3,0.8285747170448303,pmc_000005::chunk_00010,pmc_000005,Drosophila Free-Running Rhythms Require Intercellular Communication,Results,PMC000xxxxxx/PMC193604.xml,". Oscillations are comparable to those in LD. (C) Brains taken in the fourth day of DD. Six timepoints were taken throughout the circadian day. The sequence of panels from left to right is CT2, 6, 10, 14, 18, and 20, respectively. Wild-type brains (top row) were assayed in parallel with those from the Pdf 01 mutant (bo"
diabetes insulin glucose metabolism,4,0.8292198777198792,pmc_000009::chunk_00006,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Results,PMC000xxxxxx/PMC212319.xml,". Where indicated, 100 nM insulin, 1 mM ATP, and 100 μM GTPγS were present during permeablization reaction. Pellets and supernatants were separated by centrifugation and the presence of myc-ARNO and its mutants or ARNO-EGFP in each fraction was determined by immunoblotting. ARNO recruits ARF1 to the plasma membrane in "
diabetes insulin glucose metabolism,5,0.8430571556091309,pmc_000010::chunk_00014,pmc_000010,A Functional Analysis of the Spacer of V(D)J Recombination Signal Sequences,Results,PMC000xxxxxx/PMC212687.xml,. This indicates that the nonamer is the predominant element determining the stability of the initial RAG–HMG–RSS complex while the heptamer makes additional important contributions to cleavage and recombination not reflected in this binding assay. Figure 5 In Vitro Binding (A) Binding assays were performed using the 5
inflammation cytokines immune response,1,0.6718897819519043,pmc_000010::chunk_00033,pmc_000010,A Functional Analysis of the Spacer of V(D)J Recombination Signal Sequences,Supporting Information,PMC000xxxxxx/PMC212687.xml,Supporting Information Data S1 RIC Score Calculation and Other Computational Analysis (23 KB DOC). Click here for additional data file. Table S1 Oligonucleotides for Cloning of Recombination Substrates (31 KB DOC). Click here for additional data file. Table S2 Oligonucleotides for Gel Shift Experiments (23 KB DOC). Cli
inflammation cytokines immune response,2,0.7140506505966187,pmc_000015::chunk_00021,pmc_000015,Genome-Wide RNAi of C. elegans Using the Hypersensitive rrf-3 Strain Reveals Novel Gene Functions,Supporting Information,PMC000xxxxxx/PMC212692.xml,Supporting Information Table S1 RNAi Phenotypes for Bacterial Clones Using rrf-3 (482 KB PDF). Click here for additional data file. Table S2 Detailed Comparison of RNAi Phenotypes with Those of Known Loci (188 KB PDF). Click here for additional data file. Table S3 Summary of Genes Sequenced in Several Genetic Mutants (
inflammation cytokines immune response,3,0.7254036664962769,pmc_000001::chunk_00038,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Supporting Information,PMC000xxxxxx/PMC176545.xml,Dataset S1 Raw GenePix Results (29.5 MB ZIP). Click here for additional data file. Dataset S2 Complete Dataset (3.7 MB TXT). Click here for additional data file. Dataset S3 Overview Dataset (2.4 MB TXT). Click here for additional data file. Dataset S4 Quality Control Set (3.1 MB TXT). Click here for additional data fil
inflammation cytokines immune response,4,0.7696231603622437,pmc_000001::chunk_00039,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Supporting Information,PMC000xxxxxx/PMC176545.xml,. (E) (252 KB EPS) Click here for additional data file. (F) (232 KB EPS) Click here for additional data file. (G) (235 KB EPS) Click here for additional data file. (H) (235 KB EPS) Click here for additional data file. (I) (249 KB EPS) Click here for additional data file. (J) (265 KB EPS) Click here for additional data 
inflammation cytokines immune response,5,0.7875951528549194,pmc_000005::chunk_00021,pmc_000005,Drosophila Free-Running Rhythms Require Intercellular Communication,Supporting Information,PMC000xxxxxx/PMC193604.xml,"Supporting Information Figure S1 Rescued Molecular Oscillations Persist during DD in the s-LN v s The “rescued” mutant y w; pdf–GAL4;UAS–CYC , cyc 01 / cyc 01 was released into DD after entrainment and assayed by tim whole-mount in situ hybridization on the fourth day of DD. A Pdf probe was used to label the LN v group"
