query,rank,distance,id,record_id,title,section_title,source_file,snippet
HIV antiretroviral therapy resistance,1,0.8972669243812561,pmc_000015::chunk_00020,pmc_000015,Genome-Wide RNAi of C. elegans Using the Hypersensitive rrf-3 Strain Reveals Novel Gene Functions,Materials and Methods,PMC000xxxxxx/PMC212692.xml,". Sequencing of genetic mutants. The coding sequence and the 5′- and 3′-untranslated region (about 500 bp upstream and downstream of the coding sequence) of the predicted genes, as annotated in WormBase, was analysed for mutations by sequencing amplified genomic DNA of the genetic mutants (see Table S3 ). Nested primer"
HIV antiretroviral therapy resistance,2,0.9209833741188049,pmc_000005::chunk_00005,pmc_000005,Drosophila Free-Running Rhythms Require Intercellular Communication,Results,PMC000xxxxxx/PMC193604.xml,"LN v s Cannot Support Circadian Behavior Independently To test whether the LN v s can support free-running circadian locomotor activity rhythms independently of other functional clock cells, we restricted pacemaker activity to these few PDF-expressing cells. CYCLE (CYC) is a bHLH–PAS protein ( Rutila et al. 1998 ) and "
HIV antiretroviral therapy resistance,3,0.935509979724884,pmc_000015::chunk_00002,pmc_000015,Genome-Wide RNAi of C. elegans Using the Hypersensitive rrf-3 Strain Reveals Novel Gene Functions,Introduction,PMC000xxxxxx/PMC212692.xml,RNA interference (RNAi) is targeted gene silencing via double-stranded RNA (dsRNA); a gene is inactivated by specific breakdown of the mRNA ( Fire et al. 1998 ; Montgomery et al. 1998 ). It is an ideal method for rapid identification of in vivo gene function. Initial studies on RNAi used microinjection to deliver dsRNA
HIV antiretroviral therapy resistance,4,0.9483739733695984,pmc_000001::chunk_00023,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". falciparum Proteases, Potential Antimalarial Drug Candidates (A) The expression profiles of all putative plastid-targeted genes represented on our microarray are shown. The yellow box encompasses a highly synchronized group of genes, which are in-phase with plastid genome expression. The average expression profile fo"
HIV antiretroviral therapy resistance,5,0.9490352869033813,pmc_000018::chunk_00005,pmc_000018,V(D)J Recombination and the Evolution of the Adaptive Immune System,Resolution: The Final Step,PMC000xxxxxx/PMC212695.xml,"Resolution: The Final Step As mentioned, RAG −/− mice do not have mature B and T cells. This causes a severe combined immunodeficiency syndrome (SCID) characterized by a complete block in B- and T-cell development, but no other defects ( Mombaerts et al. 1992 ; Shinkai et al. 1992 ). However, there are other molecular "
diabetes insulin glucose metabolism,1,0.8113993406295776,pmc_000009::chunk_00007,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Results,PMC000xxxxxx/PMC212319.xml,". HeLa cells that had been stably transfected with ARF1-GFP were transiently transfected with myc-ARNO, serum starved overnight, and treated with 100 nM insulin. Images were collected every 30 seconds using a Molecular Dynamics 2001 confocal microscope. The time intervals that were indicated on the upper right hand cor"
diabetes insulin glucose metabolism,2,0.8642186522483826,pmc_000009::chunk_00008,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Results,PMC000xxxxxx/PMC212319.xml,". (○,□) Receptors were immunoprecipitated in the absence of insulin from cells transfected with empty vector (○) or with myc-ARNO (□). (●,■) Receptors were immunoprecipitated in the presence of insulin from cells transfected with empty vector (●) or with myc-ARNO (■). We then transfected HIRcB cells with myc-tagged ARN"
diabetes insulin glucose metabolism,3,0.8933996558189392,pmc_000009::chunk_00015,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Cell culture,PMC000xxxxxx/PMC212319.xml,"Cell culture Rat-1 fibroblasts overexpressing the human insulin receptors (HIRcB cells) were cultured in Dulbecco's modified Eagle's medium (DMEM)/Ham's F-12, supplemented with 10% fetal bovine serum, antibiotics, and 100 nM methotrexate, as previously described [ 20 ]. Cells were subcultured, transfected as indicated "
diabetes insulin glucose metabolism,4,0.903039276599884,pmc_000005::chunk_00020,pmc_000005,Drosophila Free-Running Rhythms Require Intercellular Communication,Materials and Methods,PMC000xxxxxx/PMC193604.xml,". Locomotor activities of individual flies were monitored using Trikinetics Drosophila Activity Monitors (Waltham, Massachusetts, United States). The analysis was done by using a signal processing toolbox ( Levine et al. 2002b ). Autocorrelation and spectral analysis were used to assess rhythmicity and to estimate the "
diabetes insulin glucose metabolism,5,0.9100359678268433,pmc_000009::chunk_00022,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,In vitro ARF activation assay,PMC000xxxxxx/PMC212319.xml,"In vitro ARF activation assay ARF activation was determined by the binding of GTPγS to the purified, myristoylated recombinant human ARF1 (mhARF1), as described by Shome and coworkers [ 23 ]. The insulin receptor was immunoprecipitated in the presence or absence of 100 nM insulin as described above. Four to 8 μg mhARF1"
inflammation cytokines immune response,1,0.8337146043777466,pmc_000015::chunk_00003,pmc_000015,Genome-Wide RNAi of C. elegans Using the Hypersensitive rrf-3 Strain Reveals Novel Gene Functions,Introduction,PMC000xxxxxx/PMC212692.xml,". 2000 ; Sijen et al. 2001 ). A third gene, rrf-2, appears to have no role in RNAi. The rrf-3 strain, mutated in the fourth RdRP homolog, shows an opposite response to dsRNA; this mutant has increased sensitivity to RNAi ( Sijen et al. 2001 ). A more detailed study of RNAi sensitivity of rrf-3 mutants using a set of 80"
inflammation cytokines immune response,2,0.8339776992797852,pmc_000015::chunk_00019,pmc_000015,Genome-Wide RNAi of C. elegans Using the Hypersensitive rrf-3 Strain Reveals Novel Gene Functions,Materials and Methods,PMC000xxxxxx/PMC212692.xml,"Nematode strains. We used the following C. elegans strains: Bristol N2, NL4256 rrf-3(pk1426) , CB767 bli-3(e767) , MT1141 bli-3(n259) , CB518 bli-5(e518) , BC649 bli-5(s277) , CB1158 dpy-4(e1158) , CB1166 dpy-4(e1166) , CB14 dpy-6(e14) , CB4452, dpy-6(e2762) , F11 dpy-6(f11) , CB12 dpy-9(e12) , CB1164 dpy-9(e1164) , BC"
inflammation cytokines immune response,3,0.8360848426818848,pmc_000015::chunk_00010,pmc_000015,Genome-Wide RNAi of C. elegans Using the Hypersensitive rrf-3 Strain Reveals Novel Gene Functions,Results,PMC000xxxxxx/PMC212692.xml,. ‘RNAi Phenotype Detected' gives the number of genes for which a phenotype was identified. ‘Published Phenotype Detected' gives the number of genes for which the RNAi phenotype matched the phenotype described in the literature We next asked whether using the rrf-3 strain improved general phenotype detection or whether
inflammation cytokines immune response,4,0.8378354907035828,pmc_000005::chunk_00013,pmc_000005,Drosophila Free-Running Rhythms Require Intercellular Communication,Results,PMC000xxxxxx/PMC193604.xml,". Staining intensity was temporally constant; i.e., there was no systematic variation in signal intensity with circadian time. Although we obtained identical results with two differently biotinylated PDF peptides and there was no staining with two other biotinylated control peptides, we had difficulty to compete specif"
inflammation cytokines immune response,5,0.8408885598182678,pmc_000018::chunk_00007,pmc_000018,V(D)J Recombination and the Evolution of the Adaptive Immune System,Conclusion,PMC000xxxxxx/PMC212695.xml,"Conclusion V(D)J recombination is absolutely crucial for the adaptive immune response. In its absence, our immune system is compromised. When it is not properly controlled, it gives rise to chromosomal translocations and B-and T-cell cancers. The elucidation of all steps of the reaction and attempts to understand exact"
