record_id,source_file,title,journal,pub_year,pmid,pmcid,article_type,chunk_index,chunk_count,chunk_strategy,chunk_chars
pmc_000021,PMC000xxxxxx/PMC212698.xml,Candidate Gene Association Study in Type 2 Diabetes Indicates a Role for Genes Involved in β-Cell Function as Well as Insulin Action,PLoS Biology,2003,14551916,PMC212698,research-article,0,1,whole_title_abstract,1989
pmc_000022,PMC000xxxxxx/PMC212699.xml,Developmental Origin and Evolution of Bacteriocytes in the Aphid– Buchnera Symbiosis,PLoS Biology,2003,14551917,PMC212699,research-article,0,1,whole_title_abstract,2003
pmc_000023,PMC000xxxxxx/PMC212700.xml,Developmental Origins and Evolution of Buchnera Host Cells,PLoS Biology,2003,,PMC212700,research-article,0,1,whole_title_abstract,58
pmc_000024,PMC000xxxxxx/PMC212701.xml,Supersensitive Worms Reveal New Gene Functions,PLoS Biology,2003,,PMC212701,research-article,0,1,whole_title_abstract,46
pmc_000025,PMC000xxxxxx/PMC212702.xml,What Controls Variation in Human Skin Color?,PLoS Biology,2003,14551921,PMC212702,research-article,0,1,whole_title_abstract,217
pmc_000026,PMC000xxxxxx/PMC212703.xml,Large-Scale Association Study Confirms Genetic Complexity Underlying Type 2 Diabetes,PLoS Biology,2003,,PMC212703,research-article,0,1,whole_title_abstract,84
pmc_000027,PMC000xxxxxx/PMC212704.xml,Mathematical Modeling Predicts How Proteins Affect Cellular Communication,PLoS Biology,2003,,PMC212704,research-article,0,1,whole_title_abstract,73
pmc_000028,PMC000xxxxxx/PMC212705.xml,PLoS Biology —We're Open,PLoS Biology,2003,14551925,PMC212705,research-article,0,1,whole_title_abstract,118
pmc_000029,PMC000xxxxxx/PMC212706.xml,Why PLoS Became a Publisher,PLoS Biology,2003,14551926,PMC212706,research-article,0,1,whole_title_abstract,205
pmc_000030,PMC000xxxxxx/PMC261870.xml,Viral Discovery and Sequence Recovery Using DNA Microarrays,PLoS Biology,2003,14624234,PMC261870,research-article,0,1,whole_title_abstract,1396
pmc_000031,PMC000xxxxxx/PMC300675.xml,Structural Mechanism Shows How Transferrin Receptor Binds Multiple Ligands and Sheds Light on a Hereditary Iron Disease,PLoS Biology,2003,,PMC300675,research-article,0,1,whole_title_abstract,119
pmc_000032,PMC000xxxxxx/PMC300700.xml,"In PLoS Biology, volume 1, issue 1:",PLoS Biology,2003,,PMC300700,correction,0,1,whole_title_abstract,35
pmc_000033,PMC000xxxxxx/PMC300881.xml,JAMM: A Metalloprotease-Like Zinc Site in the Proteasome and Signalosome,PLoS Biology,2003,14737182,PMC300881,research-article,0,1,whole_title_abstract,986
pmc_000034,PMC000xxxxxx/PMC300882.xml,Similarities and Differences in Genome-Wide Expression Data of Six Organisms,PLoS Biology,2003,14737187,PMC300882,research-article,0,1,whole_title_abstract,1480
pmc_000035,PMC000xxxxxx/PMC300883.xml,Multiple Apoptotic Caspase Cascades Are Required in Nonapoptotic Roles for Drosophila Spermatid Individualization,PLoS Biology,2003,14737191,PMC300883,research-article,0,1,whole_title_abstract,1730
pmc_000036,PMC000xxxxxx/PMC300884.xml,"Structure and Implications of JAMM, a Novel Metalloprotease",PLoS Biology,2003,,PMC300884,research-article,0,1,whole_title_abstract,59
pmc_000037,PMC000xxxxxx/PMC300885.xml,A Truly Broad View of Gene Expression Spotlights Evolution and Diversity,PLoS Biology,2003,,PMC300885,research-article,0,1,whole_title_abstract,72
pmc_000038,PMC000xxxxxx/PMC300886.xml,“Suicide” Proteins Contribute to Sperm Creation,PLoS Biology,2003,,PMC300886,research-article,0,1,whole_title_abstract,47
pmc_000039,PMC000xxxxxx/PMC314300.xml,Gene Expression Signature of Fibroblast Serum Response Predicts Human Cancer Progression: Similarities between Tumors and Wounds,PLoS Biology,2004,14737219,PMC314300,research-article,0,1,whole_title_abstract,1445
pmc_000040,PMC000xxxxxx/PMC314301.xml,Gene Expression Signature of a Fibroblast Serum Response Predicts Cancer Progression,PLoS Biology,2004,,PMC314301,research-article,0,1,whole_title_abstract,84
pmc_000041,PMC000xxxxxx/PMC314462.xml,Science on the Rise in Developing Countries,PLoS Biology,2004,14737181,PMC314462,research-article,0,1,whole_title_abstract,196
pmc_000042,PMC000xxxxxx/PMC314463.xml,Dorsoventral Patterning of the Mouse Coat by Tbx15,PLoS Biology,2004,14737183,PMC314463,research-article,0,1,whole_title_abstract,2086
pmc_000043,PMC000xxxxxx/PMC314464.xml,Cell-Passage Activity Is Required for the Malarial Parasite to Cross the Liver Sinusoidal Cell Layer,PLoS Biology,2004,14737184,PMC314464,research-article,0,1,whole_title_abstract,1294
pmc_000044,PMC000xxxxxx/PMC314465.xml,Loss of Olfactory Receptor Genes Coincides with the Acquisition of Full Trichromatic Vision in Primates,PLoS Biology,2004,14737185,PMC314465,research-article,0,1,whole_title_abstract,1166
pmc_000045,PMC000xxxxxx/PMC314466.xml,HIV-1 Nef Binds the DOCK2–ELMO1 Complex to Activate Rac and Inhibit Lymphocyte Chemotaxis,PLoS Biology,2004,14737186,PMC314466,research-article,0,1,whole_title_abstract,1425
pmc_000046,PMC000xxxxxx/PMC314467.xml,Looking from the Past to the Future,PLoS Biology,2004,,PMC314467,research-article,0,1,whole_title_abstract,120
pmc_000047,PMC000xxxxxx/PMC314468.xml,The Proteasome and the Delicate Balance between Destruction and Rescue,PLoS Biology,2004,14737189,PMC314468,research-article,0,1,whole_title_abstract,236
pmc_000048,PMC000xxxxxx/PMC314469.xml,Protein Interaction Networks by Proteome Peptide Scanning,PLoS Biology,2004,14737190,PMC314469,research-article,0,1,whole_title_abstract,2400
pmc_000049,PMC000xxxxxx/PMC314470.xml,A New Gene That Shapes Mouse Pigmentation Patterning,PLoS Biology,2004,,PMC314470,research-article,0,1,whole_title_abstract,52
pmc_000050,PMC000xxxxxx/PMC314471.xml,Channelling Evolution,PLoS Biology,2004,14737195,PMC314471,research-article,0,1,whole_title_abstract,195
pmc_000051,PMC000xxxxxx/PMC314472.xml,Role of Saccharomyces Single-Stranded DNA-Binding Protein RPA in the Strand Invasion Step of Double-Strand Break Repair,PLoS Biology,2004,14737196,PMC314472,research-article,0,1,whole_title_abstract,1324
pmc_000052,PMC000xxxxxx/PMC314473.xml,Mechanism Suggests How HIV Protein Disrupts Immune Cell Migration,PLoS Biology,2004,,PMC314473,research-article,0,1,whole_title_abstract,65
pmc_000053,PMC000xxxxxx/PMC314474.xml,Long-Lasting Novelty-Induced Neuronal Reverberation during Slow-Wave Sleep in Multiple Forebrain Areas,PLoS Biology,2004,14737198,PMC314474,research-article,0,1,whole_title_abstract,2282
pmc_000054,PMC000xxxxxx/PMC314475.xml,PLoS Biology in Action,PLoS Biology,2004,14737199,PMC314475,research-article,0,1,whole_title_abstract,124
pmc_000055,PMC000xxxxxx/PMC314476.xml,Visualizing Noncentrosomal Microtubules during Spindle Assembly,PLoS Biology,2004,,PMC314476,research-article,0,1,whole_title_abstract,63
pmc_000056,PMC000xxxxxx/PMC314477.xml,"RNAi Therapeutics: How Likely, How Soon?",PLoS Biology,2004,14737201,PMC314477,research-article,0,1,whole_title_abstract,266
pmc_000057,PMC000xxxxxx/PMC314478.xml,Protein Essential for Malarial Parasite to Reach and Infect Liver Cells,PLoS Biology,2004,,PMC314478,research-article,0,1,whole_title_abstract,71
pmc_000058,PMC000xxxxxx/PMC314479.xml,Evolution of Primate Sense of Smell and Full Trichromatic Color Vision,PLoS Biology,2004,,PMC314479,research-article,0,1,whole_title_abstract,70
pmc_000059,PMC000xxxxxx/PMC314480.xml,Brain Activity during Slow-Wave Sleep Points to Mechanism for Memory,PLoS Biology,2004,,PMC314480,research-article,0,1,whole_title_abstract,68
pmc_000060,PMC000xxxxxx/PMC314481.xml,Researchers Add to Proteomics Toolbox,PLoS Biology,2004,,PMC314481,research-article,0,1,whole_title_abstract,37
pmc_000061,PMC000xxxxxx/PMC314482.xml,A DNA-Binding Protein Helps Repair Breaks in DNA Double Helix,PLoS Biology,2004,,PMC314482,research-article,0,1,whole_title_abstract,61
pmc_000062,PMC000xxxxxx/PMC314483.xml,Science and Technology Communication for Development,PLoS Biology,2004,14737188,PMC314483,research-article,0,1,whole_title_abstract,228
pmc_000063,PMC000xxxxxx/PMC317275.xml,Contribution of Noncentrosomal Microtubules to Spindle Assembly in Drosophila Spermatocytes,PLoS Biology,2004,14758368,PMC317275,research-article,0,1,whole_title_abstract,2359
pmc_000064,PMC000xxxxxx/PMC322746.xml,In Methuselah's Mould,PLoS Biology,2004,14758367,PMC322746,research-article,0,1,whole_title_abstract,180
pmc_000065,PMC000xxxxxx/PMC338072.xml,A Nuclear Function for Armadillo/β-Catenin,PLoS Biology,2004,15024404,PMC338072,research-article,0,1,whole_title_abstract,1542
pmc_000066,PMC000xxxxxx/PMC340127.xml,Wnt Signaling Relies on Nuclear Armadillo,PLoS Biology,2004,,PMC340127,research-article,0,1,whole_title_abstract,41
pmc_000067,PMC000xxxxxx/PMC340937.xml,Immune Activation and CD8 + T-Cell Differentiation towards Senescence in HIV-1 Infection,PLoS Biology,2004,14966528,PMC340937,research-article,0,1,whole_title_abstract,1367
pmc_000068,PMC000xxxxxx/PMC340938.xml,pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia,PLoS Biology,2004,14966529,PMC340938,research-article,0,1,whole_title_abstract,1784
pmc_000069,PMC000xxxxxx/PMC340939.xml,Bridging the Science–Policy Divide,PLoS Biology,2004,14966530,PMC340939,research-article,0,1,whole_title_abstract,225
pmc_000070,PMC000xxxxxx/PMC340940.xml,Functional Bias and Spatial Organization of Genes in Mutational Hot and Cold Regions in the Human Genome,PLoS Biology,2004,14966531,PMC340940,research-article,0,1,whole_title_abstract,1196
pmc_000071,PMC000xxxxxx/PMC340941.xml,Lefty Blocks a Subset of TGFβ Signals by Antagonizing EGF-CFC Coreceptors,PLoS Biology,2004,14966532,PMC340941,research-article,0,1,whole_title_abstract,919
pmc_000072,PMC000xxxxxx/PMC340942.xml,Engineered Biosynthesis of Regioselectively Modified Aromatic Polyketides Using Bimodular Polyketide Synthases,PLoS Biology,2004,14966533,PMC340942,research-article,0,9,recursive_split_title_abstract,110
pmc_000072,PMC000xxxxxx/PMC340942.xml,Engineered Biosynthesis of Regioselectively Modified Aromatic Polyketides Using Bimodular Polyketide Synthases,PLoS Biology,2004,14966533,PMC340942,research-article,1,9,recursive_split_title_abstract,389
pmc_000072,PMC000xxxxxx/PMC340942.xml,Engineered Biosynthesis of Regioselectively Modified Aromatic Polyketides Using Bimodular Polyketide Synthases,PLoS Biology,2004,14966533,PMC340942,research-article,2,9,recursive_split_title_abstract,396
pmc_000072,PMC000xxxxxx/PMC340942.xml,Engineered Biosynthesis of Regioselectively Modified Aromatic Polyketides Using Bimodular Polyketide Synthases,PLoS Biology,2004,14966533,PMC340942,research-article,3,9,recursive_split_title_abstract,398
pmc_000072,PMC000xxxxxx/PMC340942.xml,Engineered Biosynthesis of Regioselectively Modified Aromatic Polyketides Using Bimodular Polyketide Synthases,PLoS Biology,2004,14966533,PMC340942,research-article,4,9,recursive_split_title_abstract,395
pmc_000072,PMC000xxxxxx/PMC340942.xml,Engineered Biosynthesis of Regioselectively Modified Aromatic Polyketides Using Bimodular Polyketide Synthases,PLoS Biology,2004,14966533,PMC340942,research-article,5,9,recursive_split_title_abstract,395
pmc_000072,PMC000xxxxxx/PMC340942.xml,Engineered Biosynthesis of Regioselectively Modified Aromatic Polyketides Using Bimodular Polyketide Synthases,PLoS Biology,2004,14966533,PMC340942,research-article,6,9,recursive_split_title_abstract,399
pmc_000072,PMC000xxxxxx/PMC340942.xml,Engineered Biosynthesis of Regioselectively Modified Aromatic Polyketides Using Bimodular Polyketide Synthases,PLoS Biology,2004,14966533,PMC340942,research-article,7,9,recursive_split_title_abstract,397
pmc_000072,PMC000xxxxxx/PMC340942.xml,Engineered Biosynthesis of Regioselectively Modified Aromatic Polyketides Using Bimodular Polyketide Synthases,PLoS Biology,2004,14966533,PMC340942,research-article,8,9,recursive_split_title_abstract,254
pmc_000073,PMC000xxxxxx/PMC340943.xml,Cracking the Polyketide Code,PLoS Biology,2004,14966534,PMC340943,research-article,0,1,whole_title_abstract,245
pmc_000074,PMC000xxxxxx/PMC340944.xml,Treatment of Terminal Peritoneal Carcinomatosis by a Transducible p53-Activating Peptide,PLoS Biology,2004,14966535,PMC340944,research-article,0,1,whole_title_abstract,1562
pmc_000075,PMC000xxxxxx/PMC340945.xml,Tumour Suppressor Genes—One Hit Can Be Enough,PLoS Biology,2004,14966536,PMC340945,research-article,0,1,whole_title_abstract,186
pmc_000076,PMC000xxxxxx/PMC340946.xml,T-Cell Differentiation and Progression of HIV Infection,PLoS Biology,2004,,PMC340946,research-article,0,1,whole_title_abstract,55
pmc_000077,PMC000xxxxxx/PMC340947.xml,The Effect of Learning on the Function of Monkey Extrastriate Visual Cortex,PLoS Biology,2004,14966538,PMC340947,research-article,0,1,whole_title_abstract,1129
pmc_000078,PMC000xxxxxx/PMC340948.xml,Learning-Induced Improvement in Encoding and Decoding of Specific Movement Directions by Neurons in the Primary Motor Cortex,PLoS Biology,2004,14966539,PMC340948,research-article,0,1,whole_title_abstract,1351
pmc_000079,PMC000xxxxxx/PMC340949.xml,What Causes Stuttering?,PLoS Biology,2004,14966540,PMC340949,research-article,0,1,whole_title_abstract,121
pmc_000080,PMC000xxxxxx/PMC340950.xml,Dissecting the Urge to Create,PLoS Biology,2004,,PMC340950,research-article,0,1,whole_title_abstract,140
pmc_000081,PMC000xxxxxx/PMC340951.xml,Quality Information for Improved Health,PLoS Biology,2004,14966541,PMC340951,research-article,0,1,whole_title_abstract,176
pmc_000082,PMC000xxxxxx/PMC340952.xml,Design and Diversity in Bacterial Chemotaxis: A Comparative Study in Escherichia coli and Bacillus subtilis,PLoS Biology,2004,14966542,PMC340952,research-article,0,1,whole_title_abstract,1273
pmc_000083,PMC000xxxxxx/PMC340953.xml,Mutation Rates and Gene Location: Some Like It Hot,PLoS Biology,2004,,PMC340953,research-article,0,1,whole_title_abstract,54
pmc_000084,PMC000xxxxxx/PMC340954.xml,A New Trade Framework for Global Healthcare R&D,PLoS Biology,2004,14966544,PMC340954,research-article,0,1,whole_title_abstract,239
pmc_000085,PMC000xxxxxx/PMC340955.xml,New Antibiotics—Resistance Is Futile,PLoS Biology,2004,14966545,PMC340955,research-article,0,1,whole_title_abstract,206
pmc_000086,PMC000xxxxxx/PMC340956.xml,World on Fire,PLoS Biology,2004,14966546,PMC340956,research-article,0,1,whole_title_abstract,197
pmc_000087,PMC000xxxxxx/PMC340957.xml,Engineering Bacteria to Make “Unnatural” Natural Drugs,PLoS Biology,2004,,PMC340957,research-article,0,1,whole_title_abstract,54
pmc_000088,PMC000xxxxxx/PMC340958.xml,Activating p53 in Cancer Cells with Protein Therapy Shows Preclinical Promise,PLoS Biology,2004,,PMC340958,research-article,0,1,whole_title_abstract,77
pmc_000089,PMC000xxxxxx/PMC340959.xml,A New Breast Cancer Model,PLoS Biology,2004,,PMC340959,research-article,0,1,whole_title_abstract,25
pmc_000090,PMC000xxxxxx/PMC340960.xml,"When Monkeys Learn Directional Tasks, Neurons Learn Too",PLoS Biology,2004,,PMC340960,research-article,0,1,whole_title_abstract,55
pmc_000091,PMC000xxxxxx/PMC340961.xml,Diverse Signals Establish the Left-Right Body Axis,PLoS Biology,2004,,PMC340961,research-article,0,1,whole_title_abstract,50
pmc_000092,PMC000xxxxxx/PMC340962.xml,Learning to Discern Images Modifies Neural Activity,PLoS Biology,2004,,PMC340962,research-article,0,1,whole_title_abstract,55
pmc_000093,PMC000xxxxxx/PMC340963.xml,PLoS Medicine,PLoS Biology,2004,14966553,PMC340963,research-article,0,1,whole_title_abstract,98
pmc_000094,PMC000xxxxxx/PMC340964.xml,Comparing the Networks that Power Bacterial Chemotaxis,PLoS Biology,2004,,PMC340964,research-article,0,1,whole_title_abstract,54
pmc_000095,PMC000xxxxxx/PMC350664.xml,Sequence-Specific Inhibition of Small RNA Function,PLoS Biology,2004,15024405,PMC350664,research-article,0,1,whole_title_abstract,1237
pmc_000096,PMC000xxxxxx/PMC350667.xml,Genetic and Functional Diversification of Small RNA Pathways in Plants,PLoS Biology,2004,15024409,PMC350667,research-article,0,1,whole_title_abstract,1452
pmc_000097,PMC000xxxxxx/PMC350672.xml,Small RNA Pathways in Plants,PLoS Biology,2004,,PMC350672,research-article,0,1,whole_title_abstract,32
pmc_000098,PMC000xxxxxx/PMC350674.xml,Exploring Small RNA Function,PLoS Biology,2004,,PMC350674,research-article,0,1,whole_title_abstract,28
pmc_000099,PMC000xxxxxx/PMC359389.xml,Reason as Our Guide,PLoS Biology,2004,15024408,PMC359389,research-article,0,1,whole_title_abstract,227
pmc_000100,PMC000xxxxxx/PMC368155.xml,Identifying Protein Function—A Call for Community Action,PLoS Biology,2004,15024411,PMC368155,research-article,0,1,whole_title_abstract,274
pmc_000101,PMC000xxxxxx/PMC368156.xml,The Strange Case of the Armored Scale Insect and Its Bacteriome,PLoS Biology,2004,15024412,PMC368156,research-article,0,1,whole_title_abstract,232
pmc_000102,PMC000xxxxxx/PMC368157.xml,"A Spontaneous, Recurrent Mutation in Divalent Metal Transporter-1 Exposes a Calcium Entry Pathway",PLoS Biology,2004,15024413,PMC368157,research-article,0,1,whole_title_abstract,1197
pmc_000103,PMC000xxxxxx/PMC368158.xml,Preferential Duplication of Conserved Proteins in Eukaryotic Genomes,PLoS Biology,2004,15024414,PMC368158,research-article,0,1,whole_title_abstract,1077
pmc_000104,PMC000xxxxxx/PMC368159.xml,No Evidence of Neandertal mtDNA Contribution to Early Modern Humans,PLoS Biology,2004,15024415,PMC368159,research-article,0,1,whole_title_abstract,1389
pmc_000105,PMC000xxxxxx/PMC368160.xml,Taste Perception: Cracking the Code,PLoS Biology,2004,15024416,PMC368160,research-article,0,1,whole_title_abstract,189
pmc_000106,PMC000xxxxxx/PMC368161.xml,Interaction Networks in Yeast Define and Enumerate the Signaling Steps of the Vertebrate Aryl Hydrocarbon Receptor,PLoS Biology,2004,15024417,PMC368161,research-article,0,1,whole_title_abstract,1413
pmc_000107,PMC000xxxxxx/PMC368162.xml,"The DNA Story, Part III",PLoS Biology,2004,,PMC368162,research-article,0,1,whole_title_abstract,152
pmc_000108,PMC000xxxxxx/PMC368163.xml,Endosymbiosis: Lessons in Conflict Resolution,PLoS Biology,2004,15024418,PMC368163,research-article,0,1,whole_title_abstract,228
pmc_000109,PMC000xxxxxx/PMC368164.xml,Phylogenomics of the Reproductive Parasite Wolbachia pipientis w Mel: A Streamlined Genome Overrun by Mobile Genetic Elements,PLoS Biology,2004,15024419,PMC368164,research-article,0,1,whole_title_abstract,2246
pmc_000110,PMC000xxxxxx/PMC368165.xml,A Single Mutation Transforms an Iron Transporter into an Ion Channel,PLoS Biology,2004,,PMC368165,research-article,0,1,whole_title_abstract,68
pmc_000111,PMC000xxxxxx/PMC368166.xml,Evolution for the Next Generation,PLoS Biology,2004,,PMC368166,research-article,0,1,whole_title_abstract,191
pmc_000112,PMC000xxxxxx/PMC368167.xml,NCEAS: Promoting Creative Collaborations,PLoS Biology,2004,15024421,PMC368167,research-article,0,1,whole_title_abstract,208
pmc_000113,PMC000xxxxxx/PMC368168.xml,Protein Nanomachines,PLoS Biology,2004,15024422,PMC368168,research-article,0,1,whole_title_abstract,175
pmc_000114,PMC000xxxxxx/PMC368169.xml,Circulation and Chemotaxis of Fetal Hematopoietic Stem Cells,PLoS Biology,2004,15024423,PMC368169,research-article,0,8,recursive_split_title_abstract,60
pmc_000114,PMC000xxxxxx/PMC368169.xml,Circulation and Chemotaxis of Fetal Hematopoietic Stem Cells,PLoS Biology,2004,15024423,PMC368169,research-article,1,8,recursive_split_title_abstract,397
pmc_000114,PMC000xxxxxx/PMC368169.xml,Circulation and Chemotaxis of Fetal Hematopoietic Stem Cells,PLoS Biology,2004,15024423,PMC368169,research-article,2,8,recursive_split_title_abstract,395
pmc_000114,PMC000xxxxxx/PMC368169.xml,Circulation and Chemotaxis of Fetal Hematopoietic Stem Cells,PLoS Biology,2004,15024423,PMC368169,research-article,3,8,recursive_split_title_abstract,396
pmc_000114,PMC000xxxxxx/PMC368169.xml,Circulation and Chemotaxis of Fetal Hematopoietic Stem Cells,PLoS Biology,2004,15024423,PMC368169,research-article,4,8,recursive_split_title_abstract,397
pmc_000114,PMC000xxxxxx/PMC368169.xml,Circulation and Chemotaxis of Fetal Hematopoietic Stem Cells,PLoS Biology,2004,15024423,PMC368169,research-article,5,8,recursive_split_title_abstract,396
pmc_000114,PMC000xxxxxx/PMC368169.xml,Circulation and Chemotaxis of Fetal Hematopoietic Stem Cells,PLoS Biology,2004,15024423,PMC368169,research-article,6,8,recursive_split_title_abstract,396
pmc_000114,PMC000xxxxxx/PMC368169.xml,Circulation and Chemotaxis of Fetal Hematopoietic Stem Cells,PLoS Biology,2004,15024423,PMC368169,research-article,7,8,recursive_split_title_abstract,388
pmc_000115,PMC000xxxxxx/PMC368170.xml,Genome Sequence of the Intracellular Bacterium Wolbachia,PLoS Biology,2004,,PMC368170,research-article,0,1,whole_title_abstract,56
pmc_000116,PMC000xxxxxx/PMC368171.xml,Perceptual “Read-Out” of Conjoined Direction and Disparity Maps in Extrastriate Area MT,PLoS Biology,2004,15024425,PMC368171,research-article,0,1,whole_title_abstract,2180
pmc_000117,PMC000xxxxxx/PMC368172.xml,N-Terminal Phosphorylation of the Dopamine Transporter Is Required for Amphetamine-Induced Efflux,PLoS Biology,2004,15024426,PMC368172,research-article,0,1,whole_title_abstract,2112
pmc_000118,PMC000xxxxxx/PMC368173.xml,Extensive Association of Functionally and Cytotopically Related mRNAs with Puf Family RNA-Binding Proteins in Yeast,PLoS Biology,2004,15024427,PMC368173,research-article,0,1,whole_title_abstract,1623
pmc_000119,PMC000xxxxxx/PMC368174.xml,Neandertals Likely Kept Their Genes to Themselves,PLoS Biology,2004,,PMC368174,research-article,0,1,whole_title_abstract,53
pmc_000120,PMC000xxxxxx/PMC368175.xml,mRNA Targets of RNA-Binding Proteins Suggest an Extensive System for Post-Transcriptional Regulation,PLoS Biology,2004,,PMC368175,research-article,0,1,whole_title_abstract,100
pmc_000121,PMC000xxxxxx/PMC368176.xml,Tracking Blood-Forming Stem Cells through Development,PLoS Biology,2004,,PMC368176,research-article,0,1,whole_title_abstract,53
pmc_000122,PMC000xxxxxx/PMC368177.xml,Conserved Genes Preferentially Duplicated in Evolution,PLoS Biology,2004,,PMC368177,research-article,0,1,whole_title_abstract,54
pmc_000123,PMC000xxxxxx/PMC368178.xml,A Holistic Approach to Evaluating Cellular Communication Pathways,PLoS Biology,2004,,PMC368178,research-article,0,1,whole_title_abstract,65
pmc_000124,PMC000xxxxxx/PMC368179.xml,A Mechanism for Amphetamine-Induced Dopamine Overload,PLoS Biology,2004,,PMC368179,research-article,0,1,whole_title_abstract,57
pmc_000125,PMC000xxxxxx/PMC368180.xml,Microstimulation of Neurons Distinguishes Neural Contribution to Perception,PLoS Biology,2004,,PMC368180,research-article,0,1,whole_title_abstract,75
pmc_000126,PMC000xxxxxx/PMC368181.xml,Corrections: The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway,PLoS Biology,2004,,PMC368181,correction,0,1,whole_title_abstract,108
pmc_000127,PMC000xxxxxx/PMC374241.xml,Dissection and Design of Yeast Prions,PLoS Biology,2004,15045026,PMC374241,research-article,0,1,whole_title_abstract,1234
pmc_000128,PMC000xxxxxx/PMC374242.xml,Artificial Prions Created from Portable Control Elements,PLoS Biology,2004,,PMC374242,research-article,0,1,whole_title_abstract,56
pmc_000129,PMC000xxxxxx/PMC374243.xml,Accelerated Evolution of the ASPM Gene Controlling Brain Size Begins Prior to Human Brain Expansion,PLoS Biology,2004,15045028,PMC374243,research-article,0,1,whole_title_abstract,1747
