query,rank,distance,id,record_id,route,chunk_strategy,title,section_title,source_file,snippet
type 2 diabetes high protein diet insulin concentration,1,0.2852247953414917,pmc_001051::chunk_00005,pmc_001051,semantic_section,section_recursive_over_512,Metabolic response of people with type 2 diabetes to a high protein diet,Results,PMC000xxxxxx/PMC524031.xml,". However, in the subjects with type 2 diabetes, the glucose concentration actually decreased over the 5 hours of that study (Figure 2 ). Figure 2 Glucose (left panel) and insulin (right panel) response to ingestion of 50 g of protein in the form of lean beef. Data from 8 non-diabetic subjects (white lines, bottom) and"
type 2 diabetes high protein diet insulin concentration,2,0.2987480163574219,pmc_001051::chunk_00000,pmc_001051,semantic_section,section_whole_under_512,Metabolic response of people with type 2 diabetes to a high protein diet,Title and abstract,PMC000xxxxxx/PMC524031.xml,Metabolic response of people with type 2 diabetes to a high protein diet Background One of the major interests in our laboratory has been to develop a scientific framework for dietary advice for patients with diabetes. Knowledge regarding the metabolic consequences and potential effects on health of protein in people w
type 2 diabetes high protein diet insulin concentration,3,0.318301796913147,pmc_001051::chunk_00010,pmc_001051,semantic_section,section_recursive_over_512,Metabolic response of people with type 2 diabetes to a high protein diet,Results,PMC000xxxxxx/PMC524031.xml,". Figure 6 24-hr integrated plasma glucose area response in 12 subjects with type 2 diabetes after ingesting the 15% protein or the 30% protein diet for 5 weeks. (From [10]) Even though the postprandial glucose concentration was decreased on the 30% protein diet, the insulin area response was modestly increased (Figure"
type 2 diabetes high protein diet insulin concentration,4,0.3261291980743408,pmc_001051::chunk_00008,pmc_001051,semantic_section,section_recursive_over_512,Metabolic response of people with type 2 diabetes to a high protein diet,Results,PMC000xxxxxx/PMC524031.xml,". We designed a study in which the protein content of the diet was increased from 15% of total food energy in a standard diet, to 30% protein in the experimental diet [ 10 ]. The carbohydrate content was decreased from 55% carbohydrate to 40% carbohydrate. However, it should be understood that since the additional prot"
type 2 diabetes high protein diet insulin concentration,5,0.32743364572525024,pmc_001051::chunk_00007,pmc_001051,semantic_section,section_recursive_over_512,Metabolic response of people with type 2 diabetes to a high protein diet,Results,PMC000xxxxxx/PMC524031.xml,". The greatest increase was with cottage cheese, which was 360% or 3.6 fold. As indicated previously, beef protein, on a weight basis, was just as potent as glucose in raising the insulin concentration. Since only 25 g of beef protein was ingested in the present study, the expected response would be 150% of that observ"
immune response B cells master regulator,1,0.13330501317977905,pmc_000257::chunk_00000,pmc_000257,recursive_fallback_no_section,recursive_fulltext_no_section,Training the Immune Response: B-cells' Master Regulator,Full text fallback,PMC000xxxxxx/PMC449904.xml,Training the Immune Response: B-cells' Master Regulator
immune response B cells master regulator,2,0.3788183331489563,pmc_001545::chunk_00002,pmc_001545,semantic_section,section_recursive_over_512,Distinct gene expression profiles in different B-cell compartments in human peripheral lymphoid organs,Background,PMC000xxxxxx/PMC535350.xml,"Appropriate T- and B-cell migration and timely interaction with antigen presenting cells (APC) are essential for the development of humoral immune responses [ 1 , 2 ]. Specialized compartments within lymphoid tissues facilitate these interactions [ 3 ]. Distinct populations of B-cells reside in these microenvironments,"
immune response B cells master regulator,3,0.38102829456329346,pmc_001212::chunk_00021,pmc_001212,semantic_section,section_recursive_over_512,Reduced proviral loads during primo-infection of sheep by Bovine Leukemia virus attenuated mutants,Conclusions,PMC000xxxxxx/PMC526217.xml,". In human and mice, the B lymphocytes expressing the CD5 and CD11b proteins are referred to as B-1a cells. B lymphocytes that are CD5- and CD11b+ are called B-1b and have a similar function than the B-1a subset [ 28 ]. Compared to the conventional B-2 cells (e.g. CD5- CD11b-), the B-1 population exhibits different dev"
immune response B cells master regulator,4,0.40892910957336426,pmc_001545::chunk_00021,pmc_001545,semantic_section,section_whole_under_512,Distinct gene expression profiles in different B-cell compartments in human peripheral lymphoid organs,Conclusions,PMC000xxxxxx/PMC535350.xml,Conclusions The gene expression profiles of the three B-cell compartments reflect distinctive functional attributes of the resident B-cell populations. They also showed different molecular microenvironments that allow the different B-cell populations to differentiate and function properly. GC B-cells have a high prolif
immune response B cells master regulator,5,0.4100990295410156,pmc_001910::chunk_00005,pmc_001910,semantic_section,section_recursive_over_512,New approaches to eliciting protective immunity through T cell repertoire manipulation: the concept of thymic vaccination,Introduction,PMC000xxxxxx/PMC544398.xml,". As neutralizing antibodies have been the subject of recent reviews [ 6 - 9 ], they will not be considered further here. Figure 1 Thymic vaccination versus conventional vaccines. A. Conventional vaccines act on the mature peripheral lymphoid pool, in particular expanding existing T cells directed against the immunogen"
SARS coronavirus spike protein trafficking,1,0.2672688961029053,pmc_002582::chunk_00000,pmc_002582,semantic_section,section_whole_under_512,The Severe Acute Respiratory Syndrome (SARS)-coronavirus 3a protein may function as a modulator of the trafficking properties of the spike protein,Title and abstract,PMC000xxxxxx/PMC549520.xml,"The Severe Acute Respiratory Syndrome (SARS)-coronavirus 3a protein may function as a modulator of the trafficking properties of the spike protein Background A recent publication reported that a tyrosine-dependent sorting signal, present in cytoplasmic tail of the spike protein of most coronaviruses, mediates the intra"
SARS coronavirus spike protein trafficking,2,0.2905006408691406,pmc_002372::chunk_00012,pmc_002372,semantic_section,section_recursive_over_512,Molecular mechanisms of severe acute respiratory syndrome (SARS),Introduction,PMC000xxxxxx/PMC548145.xml,". The spike proteins of coronaviruses are reported to bind to receptors on their target cells and the domains responsible for receptor-binding are commonly situated in the N-terminal region of S1 [ 35 - 40 ]. The spikes consist of oligomeric structures, that are formed by heptad repeats of the S2 domain which also repr"
SARS coronavirus spike protein trafficking,3,0.2969214916229248,pmc_002372::chunk_00003,pmc_002372,semantic_section,section_recursive_over_512,Molecular mechanisms of severe acute respiratory syndrome (SARS),Introduction,PMC000xxxxxx/PMC548145.xml,". Due to the death of Carlo Urbani who first identified the new disease, the first isolate of the virus was proposed to be named Urbani strain of SARS-associated coronavirus, but a final terminology has not been proposed so far [ 9 ]. Since Koch's principles have been shown to be fulfilled by the new pathogen [ 10 , 11"
SARS coronavirus spike protein trafficking,4,0.3048959970474243,pmc_002372::chunk_00011,pmc_002372,semantic_section,section_recursive_over_512,Molecular mechanisms of severe acute respiratory syndrome (SARS),Introduction,PMC000xxxxxx/PMC548145.xml,". They determined the sequence of the SARS-CoV isolate Frankfurt 1 and characterized the major RNA elements and protein functions involved in the genome expression by characterizing regulatory mechanisms such as the discontinuous synthesis of eight subgenomic mRNAs, ribosomal frameshifting and post-translational proteo"
SARS coronavirus spike protein trafficking,5,0.305935800075531,pmc_002582::chunk_00015,pmc_002582,semantic_section,section_recursive_over_512,The Severe Acute Respiratory Syndrome (SARS)-coronavirus 3a protein may function as a modulator of the trafficking properties of the spike protein,Implication of the hypothesis,PMC000xxxxxx/PMC549520.xml,". d S protein of group 3 coronavirus: IBV, infectious bronchitis virus (M95169). e SARS-CoV 3a protein (AY283798) and other cellular proteins that are known to undergo endocytosis. Abbreviations: TfR, transferrin receptor (P02786), LDLR, low-density lipoprotein receptor (P01130); CD-M6PR, cation-dependent mannose 6-pho"
